time,weathercode,max_temperature,min_temperature,mean_temperature,apparent_temperature_mean,shortwave_radiation,rainfall,max_wind_speed,max_wind_gust,dominant_Wind_Direction,evapotranspiration,rain_tomorrow,year,month,day
2010-01-01,2,25.3,18.7,22.0,23.8,18.09,0.0,15.3,38.9,57,3.43,0,2010,1,1
2010-01-02,2,25.6,19.4,22.2,24.8,15.47,0.0,13.3,33.1,46,2.95,1,2010,1,2
2010-01-03,51,25.0,19.5,22.1,25.0,14.99,0.1,10.7,28.1,40,2.84,1,2010,1,3
2010-01-04,51,25.3,19.0,21.9,24.3,16.55,0.6,10.4,29.2,23,3.16,0,2010,1,4
2010-01-08,51,25.1,20.1,22.5,26.1,12.02,0.8,9.4,23.0,326,2.33,1,2010,1,8
2010-01-09,61,26.9,19.3,23.0,27.2,17.97,10.0,5.1,27.4,12,3.48,1,2010,1,9
2010-01-10,63,26.9,19.1,22.9,26.7,19.41,9.6,5.1,20.9,288,3.72,1,2010,1,10
2010-01-11,51,26.5,19.1,23.3,27.3,19.34,1.0,4.8,19.1,328,3.74,1,2010,1,11
2010-01-12,61,26.9,19.7,23.4,27.2,19.66,4.0,6.4,20.5,23,3.79,1,2010,1,12
2010-01-13,55,27.0,20.6,23.3,27.6,18.35,2.5,5.8,24.5,49,3.55,1,2010,1,13
2010-01-14,51,27.0,20.0,23.3,26.5,19.11,0.2,11.0,28.1,66,3.71,0,2010,1,14
2010-01-15,1,25.7,19.5,22.1,24.1,21.91,0.0,13.0,34.2,55,4.12,1,2010,1,15
2010-01-16,51,25.7,20.4,22.6,25.2,17.85,0.4,14.7,38.9,60,3.26,1,2010,1,16
2010-01-17,61,24.9,20.6,22.3,25.1,13.47,4.0,13.5,40.3,49,2.52,1,2010,1,17
2010-01-18,51,24.9,20.6,22.3,25.1,13.64,0.7,10.1,33.5,51,2.58,1,2010,1,18
2010-01-19,51,26.1,19.8,22.6,25.4,18.13,0.4,12.0,33.1,55,3.43,0,2010,1,19
2010-01-25,2,26.3,19.0,22.8,25.3,19.96,0.0,9.0,27.0,48,3.89,0,2010,1,25
2010-01-26,1,27.3,19.7,23.2,25.9,21.17,0.0,9.1,24.5,55,4.17,1,2010,1,26
2010-01-27,51,26.9,20.6,23.3,26.3,17.97,0.6,12.7,34.2,56,3.44,1,2010,1,27
2010-01-28,51,26.3,20.7,23.1,25.4,18.84,0.1,16.4,42.1,57,3.59,0,2010,1,28
2010-01-29,3,26.2,20.7,22.9,25.2,15.79,0.0,15.3,38.5,47,3.12,1,2010,1,29
2010-01-31,55,25.5,19.3,22.5,25.3,14.7,4.2,11.9,32.4,51,2.79,1,2010,1,31
2010-02-01,53,25.5,21.2,22.8,26.0,13.12,1.1,10.7,32.8,49,2.53,1,2010,2,1
2010-02-02,61,26.0,20.8,22.7,25.5,15.59,2.0,13.1,33.8,49,2.98,0,2010,2,2
2010-02-03,1,26.2,20.0,22.6,25.2,19.29,0.0,13.3,34.9,46,3.66,0,2010,2,3
2010-02-04,2,26.9,19.6,22.5,24.9,20.9,0.0,9.7,27.4,49,4.04,0,2010,2,4
2010-02-05,1,26.5,19.0,22.7,24.9,21.28,0.0,11.1,29.2,47,4.12,0,2010,2,5
2010-02-06,2,26.2,19.4,22.3,23.9,20.34,0.0,14.5,38.2,59,3.93,0,2010,2,6
2010-02-10,61,27.2,20.2,23.8,27.6,16.96,5.5,6.9,23.8,48,3.39,0,2010,2,10
2010-02-11,3,26.7,21.2,23.4,26.7,11.58,0.0,8.2,23.8,60,2.44,1,2010,2,11
2010-02-12,53,26.1,20.7,23.4,26.8,9.54,1.4,8.9,28.4,57,2.08,1,2010,2,12
2010-02-13,51,28.2,21.0,24.3,28.1,19.47,0.2,9.4,29.9,54,3.88,0,2010,2,13
2010-02-14,1,28.8,19.1,23.7,26.6,23.51,0.0,8.9,25.2,63,4.72,0,2010,2,14
2010-02-15,2,28.6,19.0,23.1,25.3,24.55,0.0,9.8,25.6,77,4.93,1,2010,2,15
2010-02-16,63,26.1,19.3,23.0,26.2,13.59,9.4,9.1,32.8,69,2.72,1,2010,2,16
2010-02-17,51,27.8,20.8,23.9,27.8,17.73,0.7,9.2,34.2,65,3.51,0,2010,2,17
2010-02-18,3,29.3,20.4,24.4,28.0,22.52,0.0,5.6,21.6,151,4.56,1,2010,2,18
2010-02-19,51,29.0,19.8,24.1,27.7,21.55,0.9,7.6,24.8,69,4.34,1,2010,2,19
2010-02-20,53,29.5,20.2,24.5,27.9,21.52,2.1,6.3,22.0,85,4.34,0,2010,2,20
2010-02-21,1,29.5,18.4,24.1,26.7,24.87,0.0,9.5,28.1,74,5.07,0,2010,2,21
2010-02-22,1,30.0,18.1,24.2,26.4,25.98,0.0,14.4,39.6,80,5.45,0,2010,2,22
2010-02-23,1,29.8,18.6,24.0,26.0,24.66,0.0,10.2,27.7,82,5.11,0,2010,2,23
2010-02-24,2,29.6,19.8,24.7,27.3,22.68,0.0,5.2,22.3,275,4.59,0,2010,2,24
2010-02-25,2,30.2,18.5,25.0,28.5,23.46,0.0,6.8,24.1,307,4.79,0,2010,2,25
2010-02-26,2,30.6,19.5,25.3,28.4,23.55,0.0,9.3,29.2,26,4.93,0,2010,2,26
2010-03-04,51,30.2,19.8,25.4,28.5,21.15,0.3,8.6,28.8,244,4.5,0,2010,3,4
2010-03-11,1,30.8,21.5,25.9,28.3,24.63,0.0,13.0,39.6,74,5.33,1,2010,3,11
2010-03-12,53,30.0,21.8,25.6,29.0,20.35,2.1,12.6,36.4,81,4.35,1,2010,3,12
2010-03-13,53,30.6,21.2,25.7,29.1,22.04,1.8,12.5,39.2,78,4.7,0,2010,3,13
2010-03-14,1,30.5,20.7,25.9,29.3,22.18,0.0,9.5,32.4,64,4.76,0,2010,3,14
2010-03-18,51,29.2,20.4,24.8,27.7,20.44,0.9,12.9,40.7,70,4.38,0,2010,3,18
2010-03-19,2,30.5,20.9,25.7,28.6,22.37,0.0,13.0,40.3,74,4.88,0,2010,3,19
2010-03-25,61,29.3,22.0,25.4,30.4,20.71,4.7,5.7,24.1,294,4.17,1,2010,3,25
2010-03-26,61,29.6,22.4,25.2,30.1,20.52,10.4,4.8,21.2,244,4.19,1,2010,3,26
2010-03-28,61,28.8,22.0,24.9,29.7,18.43,4.7,5.2,21.6,227,3.76,1,2010,3,28
2010-03-29,63,28.2,21.6,24.2,28.9,18.13,12.7,6.6,24.1,173,3.6,1,2010,3,29
2010-03-30,63,29.1,21.5,24.2,28.9,22.0,11.6,6.5,25.2,212,4.36,1,2010,3,30
2010-03-31,61,28.5,21.3,24.3,28.6,21.65,6.1,10.4,34.2,219,4.2,1,2010,3,31
2010-04-01,53,29.2,21.2,25.0,29.4,23.02,1.3,8.6,27.4,222,4.57,0,2010,4,1
2010-04-02,2,30.4,21.8,26.1,30.7,23.18,0.0,5.7,25.9,226,4.75,1,2010,4,2
2010-04-03,51,30.3,21.6,25.8,30.1,23.89,0.4,7.3,19.4,32,4.94,1,2010,4,3
2010-04-06,61,29.1,21.7,25.0,29.9,20.77,5.6,8.0,33.5,75,4.2,1,2010,4,6
2010-04-08,53,29.1,22.0,25.4,30.4,20.25,5.3,4.9,34.6,103,4.11,1,2010,4,8
2010-04-10,55,29.7,22.0,25.5,30.3,19.68,3.0,4.7,21.2,207,4.06,1,2010,4,10
2010-04-11,63,29.4,22.6,25.6,30.6,19.11,4.6,4.3,20.2,219,3.93,1,2010,4,11
2010-04-12,53,28.8,22.7,25.4,30.4,19.61,2.1,8.0,26.3,232,3.92,1,2010,4,12
2010-04-13,53,29.2,22.6,25.6,30.3,20.99,3.2,8.7,28.4,229,4.27,1,2010,4,13
2010-04-14,53,27.4,21.6,24.3,28.7,11.97,3.7,7.6,24.1,203,2.48,1,2010,4,14
2010-04-19,61,28.6,21.5,24.8,29.5,20.8,2.8,9.1,29.9,219,4.12,1,2010,4,19
2010-04-20,53,29.2,21.4,25.1,29.6,20.75,2.6,8.3,27.7,223,4.19,1,2010,4,20
2010-04-21,53,29.3,22.0,25.4,29.7,20.74,2.3,9.7,28.4,218,4.18,1,2010,4,21
2010-04-22,51,28.7,22.5,25.5,30.3,20.21,0.8,8.3,28.1,223,4.06,1,2010,4,22
2010-04-25,55,28.9,22.1,25.0,29.7,18.42,5.5,6.7,25.2,227,3.73,1,2010,4,25
2010-04-28,63,29.2,21.7,24.8,29.9,20.52,7.0,4.7,20.9,347,4.12,1,2010,4,28
2010-04-29,63,29.4,21.6,24.8,30.0,20.48,10.2,4.2,21.2,77,4.13,1,2010,4,29
2010-05-01,53,28.3,21.9,24.8,29.7,18.08,3.6,8.2,25.6,279,3.6,1,2010,5,1
2010-05-02,61,29.1,22.4,25.1,30.1,20.72,3.3,7.9,24.8,297,4.13,1,2010,5,2
2010-05-03,61,28.1,21.8,24.5,29.1,17.91,5.7,8.5,25.2,217,3.5,1,2010,5,3
